Rank,State,Total Homeless,Total Homeless as %,Total Family Households Experiencing Homelessness,Veterans Experiencing Homelessness,Persons Experiencing Chronic Homelessness,Unaccompanied Young Adults (Aged 18-24) Experiencing Homelessness,
1,California,161548.00,27.89,8030.00,11401.00,51785.00,12172.00,
2,New York,91271.00,15.76,15151.00,1251.00,7515.00,3072.00,
3,Florida,27487.00,4.75,2294.00,2436.00,5182.00,1331.00,
4,Texas,27229.00,4.70,1912.00,1948.00,4033.00,1408.00,
5,Washington,22923.00,3.96,2116.00,1607.00,6756.00,1777.00,
6,Massachusetts,17975.00,3.10,3714.00,836.00,2042.00,481.00,
7,Oregon,14655.00,2.53,825.00,1329.00,4339.00,1314.00,
8,Pennsylvania,13375.00,2.31,1550.00,977.00,1772.00,716.00,
9,Arizona,10979.00,1.90,809.00,921.00,2086.00,633.00,
10,Ohio,10655.00,1.84,906.00,730.00,753.00,736.00,
11,Illinois,10431.00,1.80,1063.00,736.00,2305.00,671.00,
12,Georgia,10234.00,1.77,864.00,764.00,1374.00,504.00,
13,Colorado,9846.00,1.70,665.00,1044.00,2954.00,562.00,
14,New Jersey,9662.00,1.67,1081.00,595.00,1743.00,514.00,
15,North Carolina,9280.00,1.60,809.00,798.00,1272.00,485.00,
16,Michigan,8638.00,1.49,1026.00,639.00,1109.00,484.00,
17,Minnesota,7940.00,1.37,967.00,315.00,1787.00,746.00,
18,Tennessee,7256.00,1.25,508.00,570.00,1153.00,353.00,
19,Nevada,6900.00,1.19,159.00,924.00,1369.00,570.00,
20,Missouri,6527.00,1.13,704.00,453.00,1090.00,664.00,
21,Hawaii,6458.00,1.11,499.00,485.00,1678.00,299.00,
22,District of Columbia,6380.00,1.10,767.00,302.00,1452.00,253.00,
23,Maryland,6360.00,1.10,616.00,464.00,1397.00,227.00,
24,Virginia,5957.00,1.03,621.00,395.00,813.00,234.00,
25,Indiana,5625.00,0.97,482.00,530.00,403.00,266.00,
26,Wisconsin,4515.00,0.78,558.00,337.00,611.00,193.00,
27,South Carolina,4287.00,0.74,279.00,428.00,864.00,202.00,
28,Kentucky,4011.00,0.69,277.00,399.00,666.00,221.00,
29,Oklahoma,3932.00,0.68,255.00,325.00,1128.00,290.00,
30,Alabama,3351.00,0.58,267.00,329.00,503.00,175.00,
31,New Mexico,3333.00,0.58,294.00,252.00,1534.00,215.00,
32,Louisiana,3173.00,0.55,182.00,378.00,437.00,246.00,
33,Utah,3131.00,0.54,290.00,114.00,688.00,194.00,
34,Connecticut,2905.00,0.50,306.00,199.00,177.00,148.00,
35,Iowa,2647.00,0.46,245.00,154.00,368.00,141.00,
36,Kansas,2449.00,0.42,223.00,203.00,380.00,153.00,
37,Nebraska,2404.00,0.42,202.00,153.00,463.00,149.00,
38,Arkansas,2366.00,0.41,101.00,188.00,514.00,262.00,
39,Idaho,2315.00,0.40,276.00,178.00,364.00,90.00,
40,Maine,2097.00,0.36,260.00,103.00,248.00,139.00,
41,Alaska,1949.00,0.34,160.00,94.00,357.00,188.00,
42,New Hampshire,1675.00,0.29,219.00,116.00,446.00,65.00,
43,Montana,1545.00,0.27,167.00,165.00,223.00,79.00,
44,West Virginia,1341.00,0.23,58.00,104.00,174.00,112.00,
45,Delaware,1165.00,0.20,136.00,78.00,267.00,43.00,
46,Vermont,1110.00,0.19,124.00,71.00,185.00,99.00,
47,Mississippi,1107.00,0.19,76.00,68.00,146.00,51.00,
48,Rhode Island,1104.00,0.19,121.00,92.00,226.00,23.00,
49,South Dakota,1058.00,0.18,93.00,43.00,162.00,67.00,
50,Wyoming,612.00,0.11,50.00,51.00,81.00,91.00,
51,North Dakota,541.00,0.09,54.00,49.00,92.00,35.00,
,,,,,,,,
