State,Year,Month,Period,Indicator,Percent Complete,Percent Pending Investigation,State Name,Predicted Value
AK,2022,April,12 month-ending,Number of Drug Overdose Deaths,100,0,Alaska,257
AK,2022,April,12 month-ending,"Synthetic opioids, excl. methadone (T40.4)",100,0,Alaska,155
AK,2022,April,12 month-ending,Methadone (T40.3),100,0,Alaska,
AK,2022,April,12 month-ending,Psychostimulants with abuse potential (T43.6),100,0,Alaska,163
AK,2022,April,12 month-ending,"Opioids (T40.0-T40.4,T40.6)",100,0,Alaska,194
AK,2022,April,12 month-ending,Percent with drugs specified,100,0,Alaska,
AK,2022,April,12 month-ending,Natural & semi-synthetic opioids (T40.2),100,0,Alaska,69
AK,2022,April,12 month-ending,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",100,0,Alaska,178
AK,2022,April,12 month-ending,Number of Deaths,100,0,Alaska,
AK,2022,April,12 month-ending,Heroin (T40.1),100,0,Alaska,59
AK,2022,April,12 month-ending,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",100,0,Alaska,74
AK,2022,April,12 month-ending,Cocaine (T40.5),100,0,Alaska,10
AK,2022,August,12 month-ending,Number of Drug Overdose Deaths,100,0,Alaska,249
AK,2022,August,12 month-ending,"Synthetic opioids, excl. methadone (T40.4)",100,0,Alaska,149
AK,2022,August,12 month-ending,Psychostimulants with abuse potential (T43.6),100,0,Alaska,154
AK,2022,August,12 month-ending,Methadone (T40.3),100,0,Alaska,
AK,2022,August,12 month-ending,Percent with drugs specified,100,0,Alaska,
AK,2022,August,12 month-ending,"Opioids (T40.0-T40.4,T40.6)",100,0,Alaska,186
AK,2022,August,12 month-ending,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",100,0,Alaska,62
AK,2022,August,12 month-ending,Number of Deaths,100,0,Alaska,
AK,2022,August,12 month-ending,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",100,0,Alaska,176
AK,2022,August,12 month-ending,Heroin (T40.1),100,0,Alaska,50
AK,2022,August,12 month-ending,Natural & semi-synthetic opioids (T40.2),100,0,Alaska,58
AK,2022,August,12 month-ending,Cocaine (T40.5),100,0,Alaska,11
AK,2022,February,12 month-ending,"Opioids (T40.0-T40.4,T40.6)",100,0,Alaska,197
AK,2022,February,12 month-ending,"Synthetic opioids, excl. methadone (T40.4)",100,0,Alaska,152
AK,2022,February,12 month-ending,Psychostimulants with abuse potential (T43.6),100,0,Alaska,165
AK,2022,February,12 month-ending,Number of Drug Overdose Deaths,100,0,Alaska,257
AK,2022,February,12 month-ending,Percent with drugs specified,100,0,Alaska,
AK,2022,February,12 month-ending,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",100,0,Alaska,179
